Packet Number,From Node,To Node,Bandwidth (Mbps)
1,User77,AccessPoint17,200
1,AccessPoint17,Regional2,1000
1,Regional2,AccessPoint2,1000
1,AccessPoint2,User62,200
2,User28,AccessPoint8,200
2,AccessPoint8,Regional3,1000
2,Regional3,Core1,5000
2,Core1,Regional5,5000
2,Regional5,AccessPoint10,1000
2,AccessPoint10,User90,200
3,User55,AccessPoint15,200
3,AccessPoint15,Regional5,1000
3,Regional5,Core1,5000
3,Core1,Regional2,5000
3,Regional2,AccessPoint2,1000
3,AccessPoint2,User2,200
4,User60,AccessPoint20,200
4,AccessPoint20,Regional5,1000
4,Regional5,Core1,5000
4,Core1,Regional3,5000
4,Regional3,AccessPoint13,1000
4,AccessPoint13,User93,200
5,User86,AccessPoint6,200
5,AccessPoint6,Regional1,1000
5,Regional1,AccessPoint1,1000
5,AccessPoint1,User21,200
6,User25,AccessPoint5,200
6,AccessPoint5,Regional5,1000
6,Regional5,AccessPoint20,1000
6,AccessPoint20,User60,200
7,User65,AccessPoint5,200
7,AccessPoint5,User85,200
8,User48,AccessPoint8,200
8,AccessPoint8,Regional3,1000
8,Regional3,Core1,5000
8,Core1,Regional5,5000
8,Regional5,AccessPoint20,1000
8,AccessPoint20,User20,200
9,User86,AccessPoint6,200
9,AccessPoint6,Regional1,1000
9,Regional1,Core1,5000
9,Core1,Regional4,5000
9,Regional4,AccessPoint19,1000
9,AccessPoint19,User59,200
10,User21,AccessPoint1,200
10,AccessPoint1,Regional1,1000
10,Regional1,Core1,5000
10,Core1,Regional2,5000
10,Regional2,AccessPoint17,1000
10,AccessPoint17,User57,200
11,User52,AccessPoint12,200
11,AccessPoint12,Regional2,1000
11,Regional2,Core1,5000
11,Core1,Regional1,5000
11,Regional1,AccessPoint11,1000
11,AccessPoint11,User91,200
12,User15,AccessPoint15,200
12,AccessPoint15,Regional5,1000
12,Regional5,AccessPoint10,1000
12,AccessPoint10,User70,200
13,User85,AccessPoint5,200
13,AccessPoint5,Regional5,1000
13,Regional5,CDN2,1000
14,User64,AccessPoint4,200
14,AccessPoint4,Regional4,1000
14,Regional4,AccessPoint14,1000
14,AccessPoint14,User34,200
15,User61,AccessPoint1,200
15,AccessPoint1,Regional1,1000
15,Regional1,Core1,5000
15,Core1,Regional2,5000
15,Regional2,AccessPoint12,1000
16,User55,AccessPoint15,200
16,AccessPoint15,Regional5,1000
16,Regional5,CDN4,1000
17,User9,AccessPoint9,200
17,AccessPoint9,Regional4,1000
17,Regional4,Core1,5000
17,Core1,Regional1,5000
17,Regional1,AccessPoint1,1000
17,AccessPoint1,User41,200
18,User38,AccessPoint18,200
18,AccessPoint18,Regional3,1000
18,Regional3,Core1,5000
18,Core1,Regional4,5000
18,Regional4,AccessPoint9,1000
18,AccessPoint9,User89,200
19,User39,AccessPoint19,200
19,AccessPoint19,Regional4,1000
19,Regional4,Core1,5000
19,Core1,Regional1,5000
19,Regional1,AccessPoint11,1000
19,AccessPoint11,User51,200
20,User12,AccessPoint12,200
20,AccessPoint12,Regional2,1000
20,Regional2,Core1,5000
20,Core1,Regional3,5000
20,Regional3,AccessPoint3,1000
21,User93,AccessPoint13,200
21,AccessPoint13,Regional3,1000
21,Regional3,Core1,5000
21,Core1,Regional4,5000
22,User96,AccessPoint16,200
22,AccessPoint16,Regional1,1000
22,Regional1,Core1,5000
22,Core1,Regional4,5000
22,Regional4,AccessPoint19,1000
22,AccessPoint19,User39,200
23,User49,AccessPoint9,200
23,AccessPoint9,Regional4,1000
23,Regional4,Core1,5000
23,Core1,Regional5,5000
