Packet Number,Source Node,Destination Node,Path,Total Latency (ms),Bandwidth Used (Mbps)
1,User46,User94,User46 -> AccessPoint6 -> Regional1 -> Core1 -> Regional4 -> AccessPoint14 -> User94,90,33
2,User11,AccessPoint9,User11 -> AccessPoint11 -> Regional1 -> Core1 -> Regional4 -> AccessPoint9,60,71
3,User64,User57,User64 -> AccessPoint4 -> Regional4 -> Core1 -> Regional2 -> AccessPoint17 -> User57,90,65
4,User87,AccessPoint19,User87 -> AccessPoint7 -> Regional2 -> Core1 -> Regional4 -> AccessPoint19,60,50
5,User82,User63,User82 -> AccessPoint2 -> Regional2 -> Core1 -> Regional3 -> AccessPoint3 -> User63,90,86
6,User71,CDN5,User71 -> AccessPoint11 -> Regional1 -> CDN5,45,66
7,User74,User37,User74 -> AccessPoint14 -> Regional4 -> Core1 -> Regional2 -> AccessPoint17 -> User37,90,91
8,User77,CDN7,User77 -> AccessPoint17 -> Regional2 -> CDN7,45,59
9,User12,User54,User12 -> AccessPoint12 -> Regional2 -> Core1 -> Regional4 -> AccessPoint14 -> User54,90,42
10,User2,User100,User2 -> AccessPoint2 -> Regional2 -> Core1 -> Regional5 -> AccessPoint20 -> User100,90,16
11,User29,User29,User29,0,77
12,User23,User9,User23 -> AccessPoint3 -> Regional3 -> Core1 -> Regional4 -> AccessPoint9 -> User9,90,89
13,User2,Regional4,User2 -> AccessPoint2 -> Regional2 -> Core1 -> Regional4,50,44
14,User26,AccessPoint2,User26 -> AccessPoint6 -> Regional1 -> Core1 -> Regional2 -> AccessPoint2,70,18
15,User63,User89,User63 -> AccessPoint3 -> Regional3 -> Core1 -> Regional4 -> AccessPoint9 -> User89,90,13
16,User40,User7,User40 -> AccessPoint20 -> Regional5 -> Core1 -> Regional2 -> AccessPoint7 -> User7,90,97
17,User33,AccessPoint11,User33 -> AccessPoint13 -> Regional3 -> Core1 -> Regional1 -> AccessPoint11,60,58
18,User64,AccessPoint6,User64 -> AccessPoint4 -> Regional4 -> Core1 -> Regional1 -> AccessPoint6,60,8
19,User60,CDN10,User60 -> AccessPoint20 -> Regional5 -> Core1 -> CDN10,48,23
20,User6,AccessPoint19,User6 -> AccessPoint6 -> Regional1 -> Core1 -> Regional4 -> AccessPoint19,60,94
21,User90,User17,User90 -> AccessPoint10 -> Regional5 -> Core1 -> Regional2 -> AccessPoint17 -> User17,90,95
22,User74,AccessPoint2,User74 -> AccessPoint14 -> Regional4 -> Core1 -> Regional2 -> AccessPoint2,60,44
23,User89,Core3,User89 -> AccessPoint9 -> Regional4 -> Core3,45,85
24,User6,User61,User6 -> AccessPoint6 -> Regional1 -> AccessPoint1 -> User61,80,8
25,User66,User12,User66 -> AccessPoint6 -> Regional1 -> Core1 -> Regional2 -> AccessPoint12 -> User12,90,1
26,User61,User65,User61 -> AccessPoint1 -> Regional1 -> Core1 -> Regional5 -> AccessPoint5 -> User65,90,66
27,User27,User88,User27 -> AccessPoint7 -> Regional2 -> Core1 -> Regional3 -> AccessPoint8 -> User88,90,29
28,User34,AccessPoint1,User34 -> AccessPoint14 -> Regional4 -> Core1 -> Regional1 -> AccessPoint1,60,61
29,User21,User47,User21 -> AccessPoint1 -> Regional1 -> Core1 -> Regional2 -> AccessPoint7 -> User47,90,71
30,User51,User93,User51 -> AccessPoint11 -> Regional1 -> Core1 -> Regional3 -> AccessPoint13 -> User93,90,55
31,User53,User67,User53 -> AccessPoint13 -> Regional3 -> Core1 -> Regional2 -> AccessPoint7 -> User67,90,34
32,User40,AccessPoint18,User40 -> AccessPoint20 -> Regional5 -> Core1 -> Regional3 -> AccessPoint18,60,40
33,User65,User92,User65 -> AccessPoint5 -> Regional5 -> Core1 -> Regional2 -> AccessPoint12 -> User92,90,96
34,User43,User31,User43 -> AccessPoint3 -> Regional3 -> Core1 -> Regional1 -> AccessPoint11 -> User31,90,89
35,User53,User25,User53 -> AccessPoint13 -> Regional3 -> Core1 -> Regional5 -> AccessPoint5 -> User25,90,21
36,User3,CDN2,User3 -> AccessPoint3 -> Regional3 -> CDN2,45,53
37,User90,User16,User90 -> AccessPoint10 -> Regional5 -> Core1 -> Regional1 -> AccessPoint16 -> User16,90,35
38,User30,User97,User30 -> AccessPoint10 -> Regional5 -> Core1 -> Regional2 -> AccessPoint17 -> User97,90,34
39,User86,User45,User86 -> AccessPoint6 -> Regional1 -> Core1 -> Regional5 -> AccessPoint5 -> User45,90,67
40,User6,User68,User6 -> AccessPoint6 -> Regional1 -> Core1 -> Regional3 -> AccessPoint8 -> User68,90,26
41,User39,User71,User39 -> AccessPoint19 -> Regional4 -> Core1 -> Regional1 -> AccessPoint11 -> User71,90,42
42,User36,User11,User36 -> AccessPoint16 -> Regional1 -> AccessPoint11 -> User11,80,92
43,User91,User25,User91 -> AccessPoint11 -> Regional1 -> Core1 -> Regional5 -> AccessPoint5 -> User25,90,18
44,User87,Regional5,User87 -> AccessPoint7 -> Regional2 -> Core1 -> Regional5,50,43
45,User16,User61,User16 -> AccessPoint16 -> Regional1 -> AccessPoint1 -> User61,80,23
46,User68,User60,User68 -> AccessPoint8 -> Regional3 -> Core1 -> Regional5 -> AccessPoint20 -> User60,90,63
