Packet Number,From Node,To Node,Bandwidth (Mbps)
1,User46,AccessPoint6,200
1,AccessPoint6,Regional1,1000
1,Regional1,Core1,5000
1,Core1,Regional4,5000
1,Regional4,AccessPoint14,1000
1,AccessPoint14,User94,200
2,User11,AccessPoint11,200
2,AccessPoint11,Regional1,1000
2,Regional1,Core1,5000
2,Core1,Regional4,5000
2,Regional4,AccessPoint9,1000
3,User64,AccessPoint4,200
3,AccessPoint4,Regional4,1000
3,Regional4,Core1,5000
3,Core1,Regional2,5000
3,Regional2,AccessPoint17,1000
3,AccessPoint17,User57,200
4,User87,AccessPoint7,200
4,AccessPoint7,Regional2,1000
4,Regional2,Core1,5000
4,Core1,Regional4,5000
4,Regional4,AccessPoint19,1000
5,User82,AccessPoint2,200
5,AccessPoint2,Regional2,1000
5,Regional2,Core1,5000
5,Core1,Regional3,5000
5,Regional3,AccessPoint3,1000
5,AccessPoint3,User63,200
6,User71,AccessPoint11,200
6,AccessPoint11,Regional1,1000
6,Regional1,CDN5,1000
7,User74,AccessPoint14,200
7,AccessPoint14,Regional4,1000
7,Regional4,Core1,5000
7,Core1,Regional2,5000
7,Regional2,AccessPoint17,1000
7,AccessPoint17,User37,200
8,User77,AccessPoint17,200
8,AccessPoint17,Regional2,1000
8,Regional2,CDN7,1000
9,User12,AccessPoint12,200
9,AccessPoint12,Regional2,1000
9,Regional2,Core1,5000
9,Core1,Regional4,5000
9,Regional4,AccessPoint14,1000
9,AccessPoint14,User54,200
10,User2,AccessPoint2,200
10,AccessPoint2,Regional2,1000
10,Regional2,Core1,5000
10,Core1,Regional5,5000
10,Regional5,AccessPoint20,1000
10,AccessPoint20,User100,200
12,User23,AccessPoint3,200
12,AccessPoint3,Regional3,1000
12,Regional3,Core1,5000
12,Core1,Regional4,5000
12,Regional4,AccessPoint9,1000
12,AccessPoint9,User9,200
13,User2,AccessPoint2,200
13,AccessPoint2,Regional2,1000
13,Regional2,Core1,5000
13,Core1,Regional4,5000
14,User26,AccessPoint6,100
14,AccessPoint6,Regional1,1000
14,Regional1,Core1,5000
14,Core1,Regional2,5000
14,Regional2,AccessPoint2,1000
15,User63,AccessPoint3,200
15,AccessPoint3,Regional3,1000
15,Regional3,Core1,5000
15,Core1,Regional4,5000
15,Regional4,AccessPoint9,1000
15,AccessPoint9,User89,200
16,User40,AccessPoint20,200
16,AccessPoint20,Regional5,1000
16,Regional5,Core1,5000
16,Core1,Regional2,5000
16,Regional2,AccessPoint7,1000
16,AccessPoint7,User7,200
17,User33,AccessPoint13,200
17,AccessPoint13,Regional3,1000
17,Regional3,Core1,5000
17,Core1,Regional1,5000
17,Regional1,AccessPoint11,1000
18,User64,AccessPoint4,200
18,AccessPoint4,Regional4,1000
